ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_ORDER_VALUE,SALES_DIFF
10107,-0.5228908557285186,0.5969775019778834,2,-0.3708252319213149,24/02/2003,Shipped,1,2,2003,Motorcycles,-0.14224584412333427,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,EMEA,Yu,Kwai,Small,-0.31215407685988883,-0.05867115506142606
10121,-0.11220131389876024,-0.11445035408552658,5,-0.427897066100711,07/05/2003,Shipped,2,5,2003,Motorcycles,-0.14224584412333427,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,CA,51100,France,EMEA,Henriot,Paul,Small,0.012841480104574424,-0.4407385462052854
10134,0.6065053843033168,0.549383722060052,2,0.17944282181178947,01/07/2003,Shipped,3,7,2003,Motorcycles,-0.14224584412333427,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Medium,0.33320418547801844,-0.15376136366622897
10145,1.017194926133075,-0.019758562790675022,6,0.10470098302537557,25/08/2003,Shipped,3,8,2003,Motorcycles,-0.14224584412333427,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium,-0.020098309818356405,0.12479929284373198
10159,1.4278844679628335,0.8101579745265006,14,0.8967396621789611,10/10/2003,Shipped,4,10,2003,Motorcycles,-0.14224584412333427,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,EMEA,Brown,Julie,Medium,1.1568119884226191,-0.26007232624365806
10168,0.09314345701611891,0.6445712818957139,1,-0.04025387345272125,28/10/2003,Shipped,4,10,2003,Motorcycles,-0.14224584412333427,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium,0.06003759748907809,-0.10029147094179934
10180,-0.6255632411859581,0.1225270084220064,9,-0.5734981212721809,11/11/2003,Shipped,4,11,2003,Motorcycles,-0.14224584412333427,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,CA,59000,France,EMEA,Rance,Martine,Small,-0.07664839252128951,-0.4968497287508914
10188,1.325212082505394,0.8101579745265006,1,1.0634752157925056,18/11/2003,Shipped,4,11,2003,Motorcycles,-0.14224584412333427,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,1.0736311365806157,-0.010155920788110118
10201,-1.344269939388035,0.7392630731905647,2,-0.7522779496916155,01/12/2003,Shipped,4,12,2003,Motorcycles,-0.14224584412333427,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,EMEA,Murphy,Julie,Small,-0.993769126589693,0.24149117689807742
10211,0.6065053843033168,0.8101579745265006,14,0.6269489925752558,15/01/2004,Shipped,1,1,2004,Motorcycles,-0.14224584412333427,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium,0.491365173686592,0.13558381888866383
10223,0.1958158424735585,0.8101579745265006,1,0.22360154260597098,20/02/2004,Shipped,1,2,2004,Motorcycles,-0.14224584412333427,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,0.15864176631857846,0.06495977628739252
10237,-1.2415975539305957,0.8101579745265006,7,-0.662907041325821,05/04/2004,Shipped,2,4,2004,Motorcycles,-0.14224584412333427,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,EMEA,Frick,Michael,Small,-1.005890159469469,0.3429831181436479
10251,-0.7282356266433977,0.8101579745265006,2,-0.19833905296086415,18/05/2004,Shipped,2,5,2004,Motorcycles,-0.14224584412333427,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,EMEA,Brown,William,Medium,-0.589985900259452,0.3916468472985878
10263,-0.11220131389876024,0.8101579745265006,2,0.0667218766266416,28/06/2004,Shipped,2,6,2004,Motorcycles,-0.14224584412333427,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,EMEA,King,Julie,Medium,-0.0909007892074317,0.1576226658340733
10275,1.017194926133075,0.4546919307652012,1,0.3385543168917597,23/07/2004,Shipped,3,7,2004,Motorcycles,-0.14224584412333427,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,CA,44000,France,EMEA,Labrune,Janine,Medium,0.46251032492801414,-0.12395600803625445
10285,0.09314345701611891,0.8101579745265006,6,0.2963776341066626,27/08/2004,Shipped,3,8,2004,Motorcycles,-0.14224584412333427,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,EMEA,Hernandez,Marta,Medium,0.07546091447657508,0.22091671963008755
10299,-1.2415975539305957,0.8101579745265006,9,-0.5194020592269721,30/09/2004,Shipped,3,9,2004,Motorcycles,-0.14224584412333427,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Small,-1.005890159469469,0.4864881002424968
10309,0.6065053843033168,0.8101579745265006,5,0.4564068399360444,15/10/2004,Shipped,4,10,2004,Motorcycles,-0.14224584412333427,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,0.491365173686592,-0.03495833375054758
10318,1.1198673115905147,0.549383722060052,1,0.4366733437031304,02/11/2004,Shipped,4,11,2004,Motorcycles,-0.14224584412333427,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,EMEA,Yu,Kyung,Medium,0.615236871854981,-0.17856352815185061
10329,0.7091777697607564,0.8101579745265006,1,0.4573625623733018,15/11/2004,Shipped,4,11,2004,Motorcycles,-0.14224584412333427,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium,0.5745460255285955,-0.11718346315529365
10341,0.6065053843033168,0.8101579745265006,9,2.272035109874388,24/11/2004,Shipped,4,11,2004,Motorcycles,-0.14224584412333427,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,CA,5020,Austria,EMEA,Pipps,Georg,Large,0.491365173686592,1.780669936187796
10361,-1.5496147103029143,-0.5507266699989761,13,-1.1419194710720522,17/12/2004,Shipped,4,12,2004,Motorcycles,-0.14224584412333427,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,0.8534141491865521,-1.9953336202586043
10375,-1.4469423248454747,-2.4167994576105953,12,-1.531751050891716,03/02/2005,Shipped,1,2,2005,Motorcycles,-0.14224584412333427,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,CA,44000,France,EMEA,Labrune,Janine,Small,3.496969425880357,-5.028720476772073
10388,0.7091777697607564,-0.36183885595008475,4,-0.18830396736966298,03/03/2005,Shipped,1,3,2005,Motorcycles,-0.14224584412333427,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,EMEA,Benitez,Violeta,Medium,-0.2566080728754647,0.06830410550580174
10403,-1.138925168473156,0.8101579745265006,7,-0.6078226753966303,08/04/2005,Shipped,2,4,2005,Motorcycles,-0.14224584412333427,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,CA,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,-0.9227093076274656,0.31488663223083535
10417,3.1733150207393064,0.8101579745265006,2,2.151565210609887,13/05/2005,Disputed,2,5,2005,Motorcycles,-0.14224584412333427,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Large,2.570886469736677,-0.41932125912678986
10103,-0.9335803975582768,0.8101579745265006,11,1.004991518921707,29/01/2003,Shipped,1,1,2003,Classic Cars,2.8193681712011514,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,-0.7563476039434588,1.7613391228651656
10112,-0.6255632411859581,0.8101579745265006,1,1.984873098925308,24/03/2003,Shipped,1,3,2003,Classic Cars,2.8193681712011514,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,CA,S-958 22,Sweden,EMEA,Berglund,Christina,Large,-0.5068050484174486,2.4916781473427565
